model,question_id,exact_match_mean,exact_match_median,exact_match_std,exact_match_min,exact_match_max,normalized_exact_match_mean,normalized_exact_match_median,normalized_exact_match_std,normalized_exact_match_min,normalized_exact_match_max,token_f1_mean,token_f1_median,token_f1_std,token_f1_min,token_f1_max,string_similarity_mean,string_similarity_median,string_similarity_std,string_similarity_min,string_similarity_max,bleu_mean,bleu_median,bleu_std,bleu_min,bleu_max,rouge_l_mean,rouge_l_median,rouge_l_std,rouge_l_min,rouge_l_max,bertscore_precision_mean,bertscore_precision_median,bertscore_precision_std,bertscore_precision_min,bertscore_precision_max,bertscore_recall_mean,bertscore_recall_median,bertscore_recall_std,bertscore_recall_min,bertscore_recall_max,bertscore_f1_mean,bertscore_f1_median,bertscore_f1_std,bertscore_f1_min,bertscore_f1_max,judge_score_mean,judge_score_median,judge_score_std,judge_score_min,judge_score_max,n_runs,unique_responses,unique_normalized_responses,avg_response_length,response_uniqueness_rate,normalized_response_uniqueness_rate,modal_normalized_response_count,normalized_self_agreement_rate,semantic_self_similarity_mean,semantic_self_similarity_std,n_semantic_pairs
gemma3:12b,q250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28490946922175786,0.2790758047767394,0.018723911918836295,0.2702702702702703,0.3225806451612903,0.061666769694258106,0.062063683116314695,0.005029381554410309,0.0561941251596424,0.07248764415156507,0.010136576030396707,0.010070319017053691,0.0011173594258954947,0.00900824014917641,0.012440563176246486,0.18334885886398197,0.18354803401532374,0.014940144661654348,0.16666666666666666,0.21505376344086022,0.8634215295314789,0.8634426891803741,0.0052659097516142075,0.8578091263771057,0.8747513890266418,0.8978815913200379,0.8979062736034393,0.000881280019877097,0.8969467878341675,0.8994032144546509,0.8803065240383148,0.8804301917552948,0.0026948138345652566,0.8776381611824036,0.8865527510643005,0.99,1.0,0.021081851067789214,0.95,1.0,10,6,6,538.3,0.6,0.6,3,0.3,0.9765789628028869,0.013792702371077124,45
gemma3:12b,q251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2055245593143092,0.20481715893108293,0.015957203296280857,0.189873417721519,0.23170731707317072,0.03261094600174237,0.03246262740426639,0.001779687464267004,0.031061259706643658,0.03677221654749745,0.008896093546224516,0.009173700974930664,0.0008283179889938078,0.0071690389428406215,0.009636035773848042,0.11577296893623949,0.11793763507255325,0.010639134248191814,0.09722222222222221,0.12658227848101264,0.8392089605331421,0.8405430912971497,0.002399046331855492,0.8362950086593628,0.8427953720092773,0.82901052236557,0.8294955492019653,0.001984327095978309,0.8248015642166138,0.8314882516860962,0.8340762257575989,0.8339457809925079,0.0016371774228142201,0.8317635655403137,0.8371036052703857,0.86,0.95,0.30532314393478627,0.0,1.0,10,6,6,545.6,0.6,0.6,3,0.3,0.9822229319148593,0.011238120579404555,45
gemma3:12b,q257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19560392701201584,0.18745098039215685,0.0295710367786391,0.1647058823529412,0.24657534246575347,0.1994611981923612,0.1923307727529983,0.03397138656662288,0.1482758620689655,0.25594149908592323,0.005079573511331999,0.00465596217613047,0.001405136425176423,0.00412559071039474,0.008792073298921142,0.10732293438636638,0.10884857460199926,0.012105505286970962,0.0898876404494382,0.12987012987012986,0.8404949724674224,0.8387029469013214,0.00454766104588216,0.835608720779419,0.8461118936538696,0.9027706205844879,0.9035062491893768,0.0027162782245263957,0.8991978168487549,0.9057377576828003,0.8705153167247772,0.8687194585800171,0.003137170365485292,0.867436408996582,0.8747902512550354,0.99,1.0,0.02108185106778922,0.95,1.0,10,8,8,482.6,0.8,0.8,2,0.2,0.9462485671043396,0.02156391888709141,45
gemma3:12b,q258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12683087382715555,0.1274661508704062,0.019428823773244303,0.08791208791208792,0.15053763440860213,0.15019100693251447,0.13909452928328964,0.043948499554069556,0.08182912154031288,0.20618556701030927,0.004318527183400309,0.0035686642245597215,0.0025889382049479226,0.003127263705642319,0.01165552482184204,0.094718628701599,0.09015594541910331,0.01746432252369467,0.06593406593406594,0.12903225806451613,0.8299994051456452,0.828262597322464,0.005025614998018698,0.8233563303947449,0.8372400999069214,0.8338258504867554,0.8329607248306274,0.004293850285858727,0.8285959362983704,0.8417128920555115,0.8319048523902893,0.8304494619369507,0.004330280019026149,0.8259677886962891,0.8378589749336243,0.02,0.0,0.04216370213557839,0.0,0.1,10,10,10,624.1,1.0,1.0,1,0.1,0.9353981627358331,0.015936216311166266,45
gemma3:12b,q282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1846567805363339,0.1842592592592593,0.012933962909421148,0.17094017094017094,0.2127659574468085,0.17009002039423046,0.16611798651185428,0.014794204323306246,0.16010165184243966,0.21,0.014459810404854837,0.013969375066385698,0.0013040462465552217,0.01354667850089761,0.017907840960549988,0.1169469589405004,0.11816239316239316,0.01086701782878215,0.10344827586206896,0.13559322033898308,0.827463012933731,0.8257921636104584,0.006231093061688622,0.8228709697723389,0.8443304300308228,0.9166210412979126,0.9164024889469147,0.0015475100567848693,0.9136943817138672,0.9196821451187134,0.8697549939155579,0.8687092661857605,0.003936333471557018,0.8665144443511963,0.8803969025611877,0.9800000000000001,1.0,0.025819888974716168,0.95,1.0,10,10,10,657.2,1.0,1.0,1,0.1,0.9682232883241442,0.011252195871409536,45
gemma3:12b,q287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1272579701962246,0.1255832662912309,0.01980417777211252,0.09174311926605504,0.15841584158415842,0.16330728210547724,0.1472710818003423,0.03606565095426773,0.1309823677581864,0.2349799732977303,0.003934631519858661,0.0036867058447033006,0.0011367265852781675,0.0032235056715354577,0.007095584130806349,0.0952174190609246,0.09527266128300517,0.015988649834256123,0.07272727272727272,0.1212121212121212,0.8188035130500794,0.8174025416374207,0.006051398753633749,0.8114789724349976,0.8283707499504089,0.8492183148860931,0.8485532701015472,0.0020059672293681794,0.8472673296928406,0.8537953495979309,0.8337231397628784,0.8330146670341492,0.0033872307267316117,0.8299869894981384,0.8387554287910461,0.0,0.0,0.0,0.0,0.0,10,10,10,608.6,1.0,1.0,1,0.1,0.913414204120636,0.016880559939397105,45
gemma3:12b,q290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1462293657320758,0.13873626373626374,0.024463337652345186,0.1188118811881188,0.18867924528301885,0.1226908343460674,0.12321018062397374,0.005086780988350712,0.110397946084724,0.12855007473841554,0.004127727906407778,0.004103363736257965,0.00025607800450174297,0.0035494231076641535,0.00448518185057412,0.09673656738326238,0.10363247863247863,0.020115901798246603,0.06122448979591836,0.11538461538461539,0.8341872155666351,0.8354020714759827,0.005403462381468536,0.8206424713134766,0.8403657674789429,0.8757780909538269,0.8778124451637268,0.0042099537877994635,0.8672455549240112,0.8788923621177673,0.8544666945934296,0.855803906917572,0.0037983764413877692,0.8466631174087524,0.8591956496238708,0.9650000000000001,0.95,0.03374742788552768,0.9,1.0,10,9,9,541.2,0.9,0.9,2,0.2,0.9642903380923801,0.02148153303825572,45
gemma3:12b,q295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03973211926279946,0.04081632653061224,0.0014634441733760903,0.03773584905660377,0.04081632653061224,0.09096989677388204,0.08849557522123894,0.0078232496432956,0.08174386920980926,0.10526315789473684,0.0037981907692920995,0.0039094870602888725,0.00015018160791989614,0.003593400513595791,0.0039094870602888725,0.03973211926279946,0.04081632653061224,0.0014634441733760903,0.03773584905660377,0.04081632653061224,0.7799130320549011,0.7811184525489807,0.0015928136704729005,0.7777411937713623,0.7811184525489807,0.8293526530265808,0.8301659822463989,0.0010552037292666963,0.8279831409454346,0.8301659822463989,0.8038732469081878,0.8048956394195557,0.0013390164873125364,0.8020761609077454,0.8048956394195557,1.0,1.0,0.0,1.0,1.0,10,4,4,335.4,0.4,0.4,6,0.6,0.987963424788581,0.009691826367963759,45
gemma3:12b,q319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20461743875983912,0.20689655172413793,0.011940582930728957,0.18181818181818182,0.21621621621621623,0.10085391058842061,0.09975822313439217,0.0030996434085086683,0.0963855421686747,0.10443864229765012,0.009176023563314997,0.009032257441866963,0.00038709057300888127,0.008615520006058055,0.009655315159686774,0.14504915720475936,0.14414414414414417,0.010326379095319716,0.1272727272727273,0.16216216216216214,0.8440144658088684,0.8427262008190155,0.00506288006669806,0.8370150327682495,0.8501941561698914,0.8462568521499634,0.8469022810459137,0.0018471271284644709,0.8414943218231201,0.8478738069534302,0.8451273441314697,0.8436965346336365,0.0028578386694131375,0.8418739438056946,0.8486426472663879,0.885,0.9,0.057975090436420296,0.8,1.0,10,9,8,540.8,0.9,0.8,3,0.3,0.978538629743788,0.012525647914657989,45
gemma3:12b,q328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19411086620518617,0.1818181818181818,0.03425683636173242,0.15384615384615385,0.25,0.2577051621318288,0.26345490487814627,0.03243817831747707,0.18,0.2930513595166163,0.008580682920766265,0.007496838651774612,0.0022311703616431644,0.00669034204596002,0.01391004452078366,0.1189559094573425,0.11940594059405941,0.017525810487115302,0.09615384615384615,0.14583333333333331,0.8543491542339325,0.8544636070728302,0.005244147330000762,0.8449252247810364,0.8617699146270752,0.8717918515205383,0.8687704801559448,0.008630299047929198,0.8588016629219055,0.8861526250839233,0.8629634797573089,0.8627730309963226,0.005667009453278107,0.8536943197250366,0.8710895776748657,0.58125,0.6,0.21370456910684632,0.3,0.9,10,10,10,585.1,1.0,1.0,1,0.1,0.9317365447680156,0.020779526814632715,45
gemma3:12b,q335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18583777323898878,0.1862924156493319,0.009179189960580564,0.1722488038277512,0.19704433497536944,0.023681196405577604,0.02101503829326483,0.009052644716392312,0.014184397163120567,0.03741007194244604,0.0029825336084231035,0.002333772494016822,0.0009252104246159885,0.002227099888840448,0.004145690878316486,0.11677939129683415,0.11736011477761837,0.012529015300961531,0.09615384615384615,0.13658536585365855,0.8523329973220826,0.8523619771003723,0.0015755546733794415,0.8494760394096375,0.8545588254928589,0.8105581223964691,0.8104170262813568,0.002018027550515354,0.8068547248840332,0.8131023645401001,0.8309194028377533,0.8305121660232544,0.0014240846966494256,0.8293318748474121,0.8331891298294067,0.17,0.2,0.048304589153964794,0.1,0.2,10,9,9,562.7,0.9,0.9,2,0.2,0.9396311627493964,0.02015544157771846,45
gemma3:12b,q336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612609418723612,0.2571428571428572,0.015086949978702316,0.24,0.29850746268656714,0.32459581794518166,0.32512160885647945,0.019726128396423345,0.29350104821802936,0.35368421052631577,0.013125889796457495,0.013162056532655116,0.0006319254022557005,0.011953994172857826,0.014385671495255964,0.19877912797772776,0.2,0.006537756021079011,0.18666666666666668,0.20895522388059704,0.8703519165515899,0.870087206363678,0.004440975390909205,0.8635402321815491,0.8791215419769287,0.9208488881587982,0.9209093153476715,0.0031725701998312423,0.9155309796333313,0.9262866973876953,0.8948848187923432,0.8953031301498413,0.0033941462624101724,0.8887759447097778,0.8997846841812134,1.0,1.0,0.0,1.0,1.0,10,10,10,373.8,1.0,1.0,1,0.1,0.9535414391093784,0.022989702864123173,45
gemma3:12b,q337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13719939455376115,0.13333333333333336,0.008211467719748112,0.12903225806451613,0.15217391304347827,0.09970587495560909,0.09166666666666666,0.01823446251832307,0.08827238335435057,0.13424657534246576,0.009136489375109275,0.009270196054984463,0.0003538299150533152,0.008211540704914085,0.009340153027626816,0.11753803711366928,0.1111111111111111,0.008908324133291243,0.1111111111111111,0.13043478260869565,0.8006457805633544,0.8025768399238586,0.0030907118750125484,0.7934038043022156,0.8027311563491821,0.7713229477405548,0.7735942006111145,0.004567427458820698,0.7625865340232849,0.7769150733947754,0.7857079088687897,0.7877175211906433,0.0035976661228133175,0.7776899933815002,0.7878934144973755,0.32,0.3,0.07888106377466154,0.2,0.4,10,5,5,497.5,0.5,0.5,5,0.5,0.9715638756752014,0.026162270819769618,45
gemma3:12b,q354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16810385327321997,0.16494845360824742,0.006391151674231438,0.1616161616161616,0.17777777777777778,0.19219324367623652,0.18878787878787878,0.00843591164819512,0.18394160583941604,0.20588235294117646,0.007750152661553355,0.007544630983144272,0.0004125930889732079,0.007336453014542814,0.008376567729140041,0.11365454174364335,0.10649144669763226,0.013627096512188679,0.101010101010101,0.13333333333333336,0.8380698084831237,0.8373060822486877,0.003812267834831477,0.8331899642944336,0.8438827395439148,0.8665984272956848,0.8663913607597351,0.0010861734663302745,0.86515873670578,0.8684384822845459,0.8520928204059601,0.8514699935913086,0.0024038132141131394,0.8488734364509583,0.8559845089912415,0.7666666666666667,0.75,0.125,0.6,0.9,10,8,8,503.0,0.8,0.8,2,0.2,0.9811477594905429,0.00985975764617406,45
gemma3:12b,q356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21560476219676486,0.21476510067114093,0.011589170908601856,0.19230769230769232,0.22818791946308725,0.056148762886463775,0.0567690708815558,0.007440788316240441,0.04678362573099415,0.0641925777331996,0.009918538843289602,0.009774112213790695,0.0004421021491219203,0.009552138534197946,0.010741371745373707,0.14335264937425213,0.14667318547490998,0.006373428436516789,0.12820512820512822,0.1476510067114094,0.8521201014518738,0.8530701398849487,0.002512234660882009,0.8478094339370728,0.8548314571380615,0.8525510311126709,0.8524504899978638,0.0003240651772139565,0.8522982001304626,0.8533802628517151,0.8523336172103881,0.8527939319610596,0.0011928329994263136,0.8505856990814209,0.8536077737808228,0.43,0.4,0.21628170930011115,0.2,0.9,10,7,7,513.8,0.7,0.7,2,0.2,0.9712115102344089,0.01771247840257855,45
gemma3:12b,q397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07456062491992224,0.06741573033707865,0.01969488338533692,0.06315789473684211,0.125,0.16892533187153344,0.16651160766263512,0.03417788144470902,0.1046831955922865,0.23565891472868217,0.003363343130540782,0.00329814562811282,0.00039361476983917963,0.003004926757200381,0.00439603664946057,0.07206062491992224,0.06741573033707865,0.013044910161328966,0.06315789473684211,0.09999999999999999,0.8474415242671967,0.8469235301017761,0.005456214124559351,0.8416411876678467,0.861248254776001,0.8657467663288116,0.8659592866897583,0.002153605133643365,0.8611539006233215,0.8695785999298096,0.8564914703369141,0.8562693893909454,0.003590675438305697,0.8512895703315735,0.8653934001922607,0.475,0.4,0.3370036032024414,0.1,1.0,10,9,9,530.9,0.9,0.9,2,0.2,0.9585781256357829,0.029193443142710447,45
gemma3:12b,q405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16009963027093455,0.15254237288135594,0.014946711591595628,0.15126050420168066,0.1983471074380165,0.053715545407646594,0.053231939163498096,0.0008980536836839598,0.052763819095477386,0.055,0.005906400174359834,0.005091894897311005,0.0017077303741814662,0.005009072254029602,0.0091452728856842,0.1230650433587078,0.11864406779661016,0.0073790514627174375,0.11764705882352941,0.13445378151260504,0.8624507427215576,0.8626677989959717,0.000698070646174334,0.8605773448944092,0.8629136085510254,0.8727853477001191,0.8726828098297119,0.0006238358271259624,0.8722119331359863,0.87440425157547,0.867587149143219,0.867730975151062,0.0005599478141721487,0.8664340376853943,0.8686209321022034,0.9650000000000001,0.95,0.024152294576982425,0.95,1.0,10,5,4,480.2,0.5,0.4,6,0.6,0.9861116952366299,0.02174825960265784,45
gemma3:12b,q410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10630400596733683,0.11189358372456965,0.022535484315122783,0.056338028169014086,0.12987012987012986,0.16415972750687308,0.16278006998485403,0.014884128757955794,0.14516129032258066,0.19134396355353075,0.00631911509192315,0.00686641331331112,0.0014846744198909248,0.0035548168188028837,0.007517522301994743,0.09896474029473783,0.10389610389610389,0.01951714944645349,0.056338028169014086,0.125,0.8227380454540253,0.8225560486316681,0.0033996006532669514,0.8174692392349243,0.8277754783630371,0.8258578598499298,0.8257768452167511,0.0022950388338346763,0.8211429715156555,0.8294429779052734,0.8242937326431274,0.8238093852996826,0.002697234090015778,0.819301962852478,0.8281510472297668,0.95,0.975,0.06666666666666665,0.8,1.0,10,10,10,433.7,1.0,1.0,1,0.1,0.9544095185067919,0.018081273868255972,45
gemma3:12b,q440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09659956906714855,0.09876543209876544,0.008054423118914298,0.07594936708860758,0.10256410256410256,0.218062109698618,0.22110552763819097,0.009839126159607496,0.19063545150501673,0.22448979591836735,0.0037103160425547717,0.0036726108554163872,0.00023234983092294055,0.003467656961323781,0.004295119260690564,0.07105918965038059,0.07407407407407407,0.008610389420377566,0.05063291139240506,0.07692307692307693,0.8193515062332153,0.8191994428634644,0.0026229007029732864,0.8158090114593506,0.8222981691360474,0.8145058512687683,0.8166346848011017,0.004577129312057034,0.8035770654678345,0.817640483379364,0.81691814661026,0.8178057074546814,0.0033161916919549747,0.8099400401115417,0.8198203444480896,1.0,1.0,0.0,1.0,1.0,10,9,9,497.7,0.9,0.9,2,0.2,0.9686513609356351,0.02534931898225985,45
